id,bench,name,category,difficulty,expert_minutes,agent_timeout_sec,verdict,net_live,benefit_live,cost_live,net_raw,B1,B3,B5,B6,B8,C2,C4,top_benefit_driver,top_cost_driver,process_recommendation,counterfactual_empty,panel,agreement,vanilla_failure_mode
tb2.1__regex-chess,tb2.1,regex-chess,software-engineering,hard,1440,3600,babysitter,73.6,73.6,0,51.7,3,3,2,1,1,0,0,B1,,library/methodologies/spec-driven-development.js,false,false,,"Given the task's 24-hour estimated duration, a vanilla agent would almost certainly lose context across a session that long. It would likely fail to correctly implement the full, complex, and interdependent set of chess rules (e.g., castling rights, en passant, discovered checks), declaring success with a partially complete solution that handles only basic piece movement."
tb3__live-database-cutover,tb3,live-database-cutover,Software,,480,7200,babysitter,72.2,90.8,18.6,50.3,3,3,3,1,3,0,1,B1,C4,library/specializations/code-migration-modernization/live-database-migration.js,false,false,,"In a vanilla session, the agent might perform a simpler offline migration (dump and restore) which loses live writes, or it might attempt a live migration but miss a critical step like data verification before cutover, leading to silent data inconsistency."
tb3__fp8-rmsnorm-gemm,tb3,fp8-rmsnorm-gemm,ML,,720,14400,babysitter,69,69,0,49,3,3,3,0,0,0,0,B1,,"custom; could be based on `library/methodologies/tdd.js` combined with a performance convergence loop, e.g. `library/processes/shared/iterative-convergence.js`. This is a candidate for a new specialization like `library/specializations/ml-engineering/cuda-kernel-optimization.js`.",false,false,,"Without an enforced process, an agent might attempt to write the kernel monolithically, lose context due to the long horizon, and fail to correctly implement the complex, multi-stage computation. It could also fail to iteratively test against the performance target, submitting a functionally correct but too-slow kernel."
tb3__fin-saccr-rwa,tb3,fin-saccr-rwa,Operations,,480,9000,babysitter,66.7,66.7,0,47.7,3,3,1,2,0,0,0,B1,,custom,false,false,,"The SA-CCR calculation is a complex, multi-step process where intermediate results from one step (e.g., Replacement Cost, PFE add-ons) are inputs to the next. In a vanilla session, the agent might mis-order these dependent calculations, or lose track of an intermediate value for one of the two counterparties, leading to a plausible-looking but silently incorrect final capital number."
tb3__distributed-dedup,tb3,distributed-dedup,Software,,600,18000,babysitter,66.5,85.1,18.6,47,3,3,3,1,2,0,1,B1,C4,library/methodologies/spec-driven-development.js,false,false,,"A vanilla agent would likely implement a naive version of the algorithm that is functionally correct on a small scale but fails the strict, non-functional performance and resource constraints at scale. Without enforced gates on these metrics, it would prematurely declare success."
tb3__jax-speedrun-gpu,tb3,jax-speedrun-gpu,ML,,600,18000,babysitter,61.9,80.5,18.6,44.3,3,3,3,0,2,0,1,B1,C4,library/methodologies/spec-driven-development.js,false,false,,"In a vanilla session, the agent could fail to maintain focus on the dual constraints of loss and speed over the long duration, leading to a model that is accurate but too slow, or fast but inaccurate. The long context window could also lead to forgetting crucial hyperparameter decisions or implementation details, requiring rework. It might also declare success prematurely after the model starts training, without pushing to meet the specific loss target of ≤ 3.38."
tb3__ks-solver-cpp,tb3,ks-solver-cpp,Science,,600,14400,babysitter,61.9,80.5,18.6,44.3,3,3,3,0,2,0,1,B1,C4,custom,false,false,,"For a complex, 10-hour task, a vanilla agent would likely fail due to context loss across sessions. It might also implement a numerically unstable or incorrect solver, and without an enforced process of verification against the oracles at each step, it could confidently submit a plausible but wrong solution that fails the hidden accuracy tests."
tb3__retro-console-soc,tb3,retro-console-soc,Hardware,,600,14400,babysitter,59.6,78.2,18.6,43,3,3,3,2,0,0,1,B1,C4,custom,false,false,,"Without an enforced process, an agent might attempt a monolithic implementation without clear sub-module boundaries, leading to unmanageable complexity. More likely, it would lose track of the state of various subsystems (e.g., CPU registers, PPU scanline counters) across context window breaks in such a long and complex task, leading to continuous rework and an inability to finish."
tb3__exam-pdf-eval,tb3,exam-pdf-eval,ML,,840,14400,babysitter,57.1,94.3,37.2,41,3,3,2,3,3,0,2,B1,C4,custom,false,false,,"A vanilla agent would likely write a brittle PDF parsing script that works only for the two provided exam layouts. Confident that it works, it would declare success prematurely, submitting a harness that fails on the hidden verifier case which uses a different layout. An enforced process would gate progress on robustness checks rather than just apparent completion."
tb3__gpt2-codegolf,tb3,gpt2-codegolf,ML,,2400,18000,babysitter,56.1,74.7,18.6,41,3,3,3,0,1,0,1,B1,C4,library/methodologies/spec-driven-development.js,false,false,,"Given the 40-hour expert estimate, a vanilla agent would almost certainly fail to complete the task within a single session or agent timeout. It would lose context, forget intermediate reasoning, or be unable to recover from interruptions, making the journaling and resumption capabilities of a process essential."
tb3__gsea-proteomics,tb3,gsea-proteomics,Science,,240,9000,babysitter,54.8,69.5,14.8,40.3,3,2,3,2,0,1,0,B1,C2,custom,false,false,,"A vanilla agent could fail to correctly follow the dependency chain, for example by running the GSEA enrichment analysis on the experimental groups before first generating the required `TAR_UP_vs_CTRL` gene set, leading to a scientifically invalid result."
tb3__intrastat-meldung,tb3,intrastat-meldung,Operations,,180,10800,babysitter,54.8,69.5,14.8,40.3,3,2,1,2,2,1,0,B1,C2,custom,false,false,,"If run in a vanilla session, the agent could successfully submit the filings but fail to complete the mandatory downstream steps of archiving the specific artifacts (receipt, final XML, memo) to the correct location or ensuring the reconciliation memo is written and validates against its schema. It might declare success prematurely after the portal acceptance."
tb3__telecom-entity-resolution,tb3,telecom-entity-resolution,Software,,960,9000,babysitter,53.6,90.8,37.2,39,3,3,3,1,3,0,2,B1,C4,custom,false,false,,"Given the 16-hour expert estimate and complex, iterative nature of entity resolution, a vanilla agent would likely fail due to context loss, forgetting its own data cleaning rules or matching logic partway through. It would also be likely to declare success prematurely with a plausible but inaccurate set of clusters, failing to perform the methodical iteration required to meet the high precision/recall targets, especially on the adversarial subset."
tb2.1__gpt2-codegolf,tb2.1,gpt2-codegolf,software-engineering,hard,2400,900,babysitter,50.4,69,18.6,37.7,3,3,3,0,0,0,1,B1,C4,library/methodologies/spec-driven-development.js,false,false,,"The agent could lose track of one of the multiple complex constraints (dependency-free, <5000 bytes, specific file formats) over the 40-hour implementation time, or get stuck in a partial implementation of the transformer logic without ever producing a complete, runnable program."
