id,bench,name,gpt-5.6-terra_verdict,gpt-5.6-terra_net_live,gpt-5.6-sol_verdict,gpt-5.6-sol_net_live,consensus,agreement
tb2.1__adaptive-rejection-sampler,tb2.1,adaptive-rejection-sampler,babysitter,8.6,babysitter,17.2,babysitter,2/2
tb2.1__bn-fit-modify,tb2.1,bn-fit-modify,babysitter,-3.1,babysitter,5.6,babysitter,2/2
tb2.1__break-filter-js-from-html,tb2.1,break-filter-js-from-html,vanilla,-61.3,vanilla,-58.4,vanilla,2/2
tb2.1__build-cython-ext,tb2.1,build-cython-ext,borderline,-16.1,borderline,-10.3,borderline,2/2
tb2.1__build-pmars,tb2.1,build-pmars,babysitter,-2.1,babysitter,16.5,babysitter,2/2
tb2.1__build-pov-ray,tb2.1,build-pov-ray,babysitter,-2.1,babysitter,25.1,babysitter,2/2
tb2.1__caffe-cifar-10,tb2.1,caffe-cifar-10,babysitter,22.2,babysitter,28,babysitter,2/2
tb2.1__cancel-async-tasks,tb2.1,cancel-async-tasks,borderline,-16.5,vanilla,-33.7,needs-third-judge,1/2
tb2.1__chess-best-move,tb2.1,chess-best-move,vanilla,-49.4,vanilla,-43.7,vanilla,2/2
tb2.1__circuit-fibsqrt,tb2.1,circuit-fibsqrt,babysitter,30.3,babysitter,46.4,babysitter,2/2
tb2.1__cobol-modernization,tb2.1,cobol-modernization,vanilla,-61.3,vanilla,-56.7,vanilla,2/2
tb2.1__code-from-image,tb2.1,code-from-image,vanilla,-43.7,borderline,-26.4,needs-third-judge,1/2
tb2.1__compile-compcert,tb2.1,compile-compcert,borderline,-16.5,borderline,-16.5,borderline,2/2
tb2.1__configure-git-webserver,tb2.1,configure-git-webserver,vanilla,-31.2,borderline,-25.5,needs-third-judge,1/2
tb2.1__constraints-scheduling,tb2.1,constraints-scheduling,vanilla,-58.4,vanilla,-43.9,vanilla,2/2
tb2.1__count-dataset-tokens,tb2.1,count-dataset-tokens,vanilla,-30.5,borderline,-26.4,needs-third-judge,1/2
tb2.1__crack-7z-hash,tb2.1,crack-7z-hash,vanilla,-54.2,vanilla,-64.2,vanilla,2/2
tb2.1__custom-memory-heap-crash,tb2.1,custom-memory-heap-crash,vanilla,-56.5,vanilla,-50.8,vanilla,2/2
tb2.1__db-wal-recovery,tb2.1,db-wal-recovery,borderline,-20.7,borderline,-14.9,borderline,2/2
tb2.1__distribution-search,tb2.1,distribution-search,borderline,-19.4,borderline,-10.7,borderline,2/2
tb2.1__dna-assembly,tb2.1,dna-assembly,borderline,-27.6,borderline,-27.6,borderline,2/2
tb2.1__dna-insert,tb2.1,dna-insert,vanilla,-32.2,borderline,-13.6,needs-third-judge,1/2
tb2.1__extract-elf,tb2.1,extract-elf,vanilla,-43.7,borderline,-25.1,needs-third-judge,1/2
tb2.1__extract-moves-from-video,tb2.1,extract-moves-from-video,vanilla,-30.8,vanilla,-35.1,vanilla,2/2
tb2.1__feal-differential-cryptanalysis,tb2.1,feal-differential-cryptanalysis,borderline,-8.8,borderline,-0.2,borderline,2/2
tb2.1__feal-linear-cryptanalysis,tb2.1,feal-linear-cryptanalysis,babysitter,11.7,babysitter,11.7,babysitter,2/2
tb2.1__filter-js-from-html,tb2.1,filter-js-from-html,borderline,-25.1,vanilla,-33.7,needs-third-judge,1/2
tb2.1__financial-document-processor,tb2.1,financial-document-processor,borderline,1.3,babysitter,19.9,needs-third-judge,1/2
tb2.1__fix-code-vulnerability,tb2.1,fix-code-vulnerability,borderline,-20.7,borderline,-20.7,borderline,2/2
tb2.1__fix-git,tb2.1,fix-git,vanilla,-77,vanilla,-77,vanilla,2/2
tb2.1__fix-ocaml-gc,tb2.1,fix-ocaml-gc,borderline,4.6,babysitter,4.6,needs-third-judge,1/2
tb2.1__gcode-to-text,tb2.1,gcode-to-text,vanilla,-49.4,vanilla,-49.4,vanilla,2/2
tb2.1__git-leak-recovery,tb2.1,git-leak-recovery,borderline,-10.7,borderline,-29.3,borderline,2/2
tb2.1__git-multibranch,tb2.1,git-multibranch,babysitter,50.2,babysitter,37.4,babysitter,2/2
tb2.1__gpt2-codegolf,tb2.1,gpt2-codegolf,babysitter,37.6,babysitter,60.7,babysitter,2/2
tb2.1__headless-terminal,tb2.1,headless-terminal,borderline,-25.1,vanilla,-39.1,needs-third-judge,1/2
tb2.1__hf-model-inference,tb2.1,hf-model-inference,borderline,-21.3,borderline,-16.7,borderline,2/2
tb2.1__install-windows-3.11,tb2.1,install-windows-3.11,babysitter,2.9,babysitter,38.7,babysitter,2/2
tb2.1__kv-store-grpc,tb2.1,kv-store-grpc,borderline,-12.7,borderline,-12.7,borderline,2/2
tb2.1__large-scale-text-editing,tb2.1,large-scale-text-editing,borderline,-23.6,borderline,-9.2,borderline,2/2
tb2.1__largest-eigenval,tb2.1,largest-eigenval,borderline,-7.9,borderline,-7.9,borderline,2/2
tb2.1__llm-inference-batching-scheduler,tb2.1,llm-inference-batching-scheduler,borderline,-21.8,borderline,-21.8,borderline,2/2
tb2.1__log-summary-date-ranges,tb2.1,log-summary-date-ranges,borderline,-7.7,borderline,-1.9,borderline,2/2
tb2.1__mailman,tb2.1,mailman,borderline,-19.4,borderline,-6.1,borderline,2/2
tb2.1__make-doom-for-mips,tb2.1,make-doom-for-mips,borderline,-5.9,borderline,-5.9,borderline,2/2
tb2.1__make-mips-interpreter,tb2.1,make-mips-interpreter,borderline,-5.9,babysitter,23,needs-third-judge,1/2
tb2.1__mcmc-sampling-stan,tb2.1,mcmc-sampling-stan,babysitter,34.1,babysitter,38.7,babysitter,2/2
tb2.1__merge-diff-arc-agi-task,tb2.1,merge-diff-arc-agi-task,vanilla,-44.1,vanilla,-39.5,vanilla,2/2
tb2.1__model-extraction-relu-logits,tb2.1,model-extraction-relu-logits,borderline,6.9,borderline,-20.3,borderline,2/2
tb2.1__modernize-scientific-stack,tb2.1,modernize-scientific-stack,borderline,-1.9,borderline,-1.9,borderline,2/2
tb2.1__mteb-leaderboard,tb2.1,mteb-leaderboard,vanilla,-54.2,borderline,-21.3,needs-third-judge,1/2
tb2.1__mteb-retrieve,tb2.1,mteb-retrieve,borderline,-18.4,borderline,-18.4,borderline,2/2
tb2.1__multi-source-data-merger,tb2.1,multi-source-data-merger,babysitter,15.3,babysitter,15.3,babysitter,2/2
tb2.1__nginx-request-logging,tb2.1,nginx-request-logging,borderline,-10.9,borderline,-2.3,borderline,2/2
tb2.1__openssl-selfsigned-cert,tb2.1,openssl-selfsigned-cert,borderline,-8.1,borderline,-6.9,borderline,2/2
tb2.1__overfull-hbox,tb2.1,overfull-hbox,borderline,-0.8,babysitter,6.7,needs-third-judge,1/2
tb2.1__password-recovery,tb2.1,password-recovery,vanilla,-43.7,vanilla,-43.7,vanilla,2/2
tb2.1__path-tracing,tb2.1,path-tracing,borderline,-0.2,borderline,-3.1,borderline,2/2
